Delay (Seconds) - Plot 0,g(2) - Plot 0
-35.1751n,0
-35.0941n,0
-35.0132n,0
-34.9322n,0
-34.8512n,0
-34.7703n,0
-34.6893n,0
-34.6084n,0
-34.5274n,0
-34.4465n,0
-34.3655n,0
-34.2846n,0
-34.2036n,0
-34.1226n,0
-34.0417n,0
-33.9607n,0
-33.8798n,0
-33.7988n,0
-33.7179n,0
-33.6369n,0
-33.556n,0
-33.475n,0
-33.394n,0
-33.3131n,0
-33.2321n,0
-33.1512n,0
-33.0702n,0
-32.9893n,0
-32.9083n,0
-32.8274n,0
-32.7464n,0
-32.6655n,0
-32.5845n,0
-32.5035n,0
-32.4226n,0
-32.3416n,0
-32.2607n,0
-32.1797n,0
-32.0988n,0
-32.0178n,0
-31.9369n,0
-31.8559n,0
-31.7749n,0
-31.694n,0
-31.613n,0
-31.5321n,0
-31.4511n,0
-31.3702n,0
-31.2892n,0
-31.2083n,0
-31.1273n,0
-31.0463n,0
-30.9654n,0
-30.8844n,0
-30.8035n,0
-30.7225n,0
-30.6416n,0
-30.5606n,0
-30.4797n,0
-30.3987n,0
-30.3177n,0
-30.2368n,0
-30.1558n,0
-30.0749n,51.5871
-29.9939n,12.3548
-29.913n,64.3677
-29.832n,12.5711
-29.7511n,56.1631
-29.6701n,11.1798
-29.5892n,57.5554
-29.5082n,10.6667
-29.4272n,61.4857
-29.3463n,14.6575
-29.2653n,40.9029
-29.1844n,11.4756
-29.1034n,37.2836
-29.0225n,12.9356
-28.9415n,54.6136
-28.8606n,12.7671
-28.7796n,56.3685
-28.6986n,12.7446
-28.6177n,55.7233
-28.5367n,12.5493
-28.4558n,54.7341
-28.3748n,14.9576
-28.2939n,49.0005
-28.2129n,9.92167
-28.132n,41.6882
-28.051n,8.5938
-27.97n,53.0182
-27.8891n,11.6089
-27.8081n,54.5703
-27.7272n,10.154
-27.6462n,48.2928
-27.5653n,12.7671
-27.4843n,52.1856
-27.4034n,11.9026
-27.3224n,42.0912
-27.2414n,12.7871
-27.1605n,45.5977
-27.0795n,9.86939
-26.9986n,51.5871
-26.9176n,10.6169
-26.8367n,43.7413
-26.7557n,9.31838
-26.6748n,50.1593
-26.5938n,11.8393
-26.5129n,58.055
-26.4319n,11.5449
-26.3509n,44.7976
-26.27n,9.38285
-26.189n,47.3327
-26.1081n,7.57284
-26.0271n,53.2838
-25.9462n,7.44837
-25.8652n,49.4747
-25.7843n,10.7176
-25.7033n,57.2339
-25.6223n,7.54283
-25.5414n,41.1167
-25.4604n,8.77983
-25.3795n,51.7001
-25.2985n,12.7562
-25.2176n,47.0081
-25.1366n,13.0363
-25.0557n,44.0401
-24.9747n,12.2794
-24.8937n,41.4848
-24.8128n,7.20242
-24.7318n,35.2875
-24.6509n,12.2645
-24.5699n,27.9426
-24.489n,6.70102
-24.408n,35.7961
-24.3271n,7.46395
-24.2461n,35.1706
-24.1651n,7.91559
-24.0842n,41.7351
